B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15
1;2;4;6;8;9;11;14;15;16;19;20;22;24;25
2;3;5;5;7;10;12;13;14;17;18;21;21;23;24
